registro_id,timestamp,lote_id,producto,etapa,evento,ubicacion,lat,lon,transporte,humedad_grano_pct,temperatura_grano_c,temperatura_ambiente_c,humedad_ambiente_pct,shock_g,estado_sello,responsable,observaciones
TRZ-0033,2026-05-19 06:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Tramo Santa Fe - Rosario,-31.85,-60.688333,Barcaza,13.37,27.0,27.1,56.9,0.21,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0034,2026-05-19 09:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Tramo Santa Fe - Rosario,-32.015,-60.679583,Barcaza,13.43,25.9,30.4,57.9,0.06,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0035,2026-05-19 12:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Tramo Santa Fe - Rosario,-32.18,-60.670833,Barcaza,13.61,26.4,32.3,65.0,0.24,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0036,2026-05-19 15:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Tramo Santa Fe - Rosario,-32.345,-60.662083,Barcaza,13.58,26.2,30.0,58.7,0.22,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0037,2026-05-19 18:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Tramo Santa Fe - Rosario,-32.51,-60.653333,Barcaza,13.67,25.2,26.6,61.0,0.25,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0038,2026-05-19 21:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Tramo Santa Fe - Rosario,-32.675,-60.644583,Barcaza,13.91,24.9,22.6,70.1,0.14,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0039,2026-05-20 00:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Rosario,-32.84,-60.635833,Barcaza,13.94,24.9,22.9,70.2,0.22,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0040,2026-05-20 03:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Rosario,-32.991071,-60.5725,Barcaza,13.66,23.7,22.6,67.0,0.25,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0041,2026-05-20 06:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Rosario,-33.114286,-60.4,Barcaza,14.08,23.1,27.6,69.1,0.02,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0042,2026-05-20 09:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Tramo Rosario - Zárate,-33.2375,-60.2275,Barcaza,14.12,23.1,31.0,67.3,0.26,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0043,2026-05-20 12:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Tramo Rosario - Zárate,-33.360714,-60.055,Barcaza,13.81,23.3,32.2,72.1,0.18,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0044,2026-05-20 15:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Tramo Rosario - Zárate,-33.483929,-59.8825,Barcaza,13.99,22.6,31.2,69.0,0.16,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0045,2026-05-20 18:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Tramo Rosario - Zárate,-33.607143,-59.71,Barcaza,14.21,22.0,26.4,73.8,0.16,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0046,2026-05-20 21:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Tramo Rosario - Zárate,-33.730357,-59.5375,Barcaza,14.7,22.3,23.7,74.2,0.13,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0047,2026-05-21 00:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Tramo Rosario - Zárate,-33.853571,-59.365,Barcaza,14.81,22.8,22.9,69.9,0.17,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0048,2026-05-21 03:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Zárate,-33.976786,-59.1925,Barcaza,14.86,22.8,23.1,75.0,0.13,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0049,2026-05-21 06:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,INSPECCION_ZARATE,Zárate,-34.1,-59.02,Barcaza,14.68,24.0,28.0,67.6,1.11,OK_INSPECCIONADO,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0050,2026-05-21 09:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Zárate,-34.07125,-58.945,Barcaza,15.22,23.7,29.9,74.3,0.23,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0051,2026-05-21 12:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Tramo Zárate - Nueva Palmira,-34.0425,-58.87,Barcaza,14.3,24.5,33.0,71.4,0.31,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0052,2026-05-21 15:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Tramo Zárate - Nueva Palmira,-34.01375,-58.795,Barcaza,14.14,25.1,31.4,64.9,0.19,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0053,2026-05-21 18:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Tramo Zárate - Nueva Palmira,-33.985,-58.72,Barcaza,14.08,24.9,27.1,64.8,0.09,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0054,2026-05-21 21:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Tramo Zárate - Nueva Palmira,-33.95625,-58.645,Barcaza,14.16,25.9,23.0,65.4,0.11,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0055,2026-05-22 00:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Tramo Zárate - Nueva Palmira,-33.9275,-58.57,Barcaza,14.55,26.5,21.2,63.1,0.18,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0056,2026-05-22 03:00:00,SOJA-ITP-2026-001,Soja a granel,PUERTO_DESTINO,ARRIBO_NUEVA_PALMIRA,Nueva Palmira,-33.89875,-58.495,Puerto destino,14.52,26.5,23.0,64.7,0.19,OK,Puerto Nueva Palmira,Registro automático de telemetría IoT.
TRZ-0057,2026-05-22 06:00:00,SOJA-ITP-2026-001,Soja a granel,PUERTO_DESTINO,DESCARGA_PUERTO,Nueva Palmira,-33.87,-58.42,Puerto destino,14.44,26.4,26.0,56.4,0.88,OK,Puerto Nueva Palmira,Descarga y cierre de trazabilidad del lote.
